run_name,dropout,norm,lr,weight_decay,label_smoothing,base_channels,seed,best_val_acc,epoch_best,final_train_acc,final_val_acc,test_acc
baseline_bn_dropout0.3,0.3,batch,0.01,0.0005,0.0,32,42,0.7748,30,0.7259777777777778,0.7748,
drop_0.0,0.0,batch,0.01,0.0005,0.0,32,42,0.8778,24,0.9174,0.875,
drop_0.1,0.1,batch,0.01,0.0005,0.0,32,42,0.8594,28,0.8506888888888889,0.8586,
drop_0.3,0.3,batch,0.01,0.0005,0.0,32,42,0.7748,30,0.7259777777777778,0.7748,
drop_0.5,0.5,batch,0.01,0.0005,0.0,32,42,0.5656,29,0.5577777777777778,0.5584,
ensemble_auto_seed1,0.3,batch,0.01,0.0005,0.0,32,1,0.7616,20,0.728,0.7616,
ensemble_auto_seed2,0.3,batch,0.01,0.0005,0.0,32,2,0.7824,20,0.7312,0.7824,
ensemble_auto_seed3,0.3,batch,0.01,0.0005,0.0,32,3,0.7626,20,0.7250222222222222,0.7626,
final_auto_base_channels32_dropout0.0_label_smoothing0.0_lr0.01_normbatch_weight_decay0.0005_20251117_000852_20251117_135924,0.0,batch,0.01,0.0005,0.0,32,42,0.877,37,0.9310222222222222,0.876,
label_smooth_0.1,0.3,batch,0.01,0.0005,0.1,32,42,0.7938,29,0.7736,0.7936,
norm_batch,0.3,batch,0.01,0.0005,0.0,32,42,0.7748,30,0.7259777777777778,0.7748,
norm_group,0.3,group,0.01,0.0005,0.0,32,42,0.7354,30,0.6848,0.7354,
norm_instance,0.3,instance,0.01,0.0005,0.0,32,42,0.6998,28,0.6323777777777778,0.6968,
norm_none,0.3,none,0.01,0.0005,0.0,32,42,0.5552,30,0.4957111111111111,0.5552,
wd_0.0005,0.3,batch,0.01,0.0005,0.0,32,42,0.7748,30,0.7259777777777778,0.7748,
wd_0.001,0.3,batch,0.01,0.001,0.0,32,42,0.7896,30,0.7377555555555556,0.7896,
wide48,0.3,batch,0.01,0.0005,0.0,48,42,0.8354,39,0.7899777777777778,0.8324,
wide64,0.3,batch,0.01,0.0005,0.0,64,42,0.8496,39,0.8205111111111111,0.8472,
auto_base_channels32_dropout0.0_label_smoothing0.0_lr0.001_normbatch_weight_decay0.0005_20251117_023056,,,,,,,,,,,,
auto_base_channels32_dropout0.0_label_smoothing0.0_lr0.001_normgroup_weight_decay0.0005_20251117_032339,,,,,,,,,,,,
auto_base_channels32_dropout0.0_label_smoothing0.0_lr0.01_normbatch_weight_decay0.0005_20251117_000852,,,,,,,,,,,,
auto_base_channels32_dropout0.0_label_smoothing0.0_lr0.01_normgroup_weight_decay0.0005_20251117_012317,,,,,,,,,,,,
auto_base_channels32_dropout0.2_label_smoothing0.0_lr0.001_normbatch_weight_decay0.0005_20251117_054857,,,,,,,,,,,,
auto_base_channels32_dropout0.2_label_smoothing0.0_lr0.001_normgroup_weight_decay0.0005_20251117_063809,,,,,,,,,,,,
auto_base_channels32_dropout0.2_label_smoothing0.0_lr0.01_normbatch_weight_decay0.0005_20251117_041141,,,,,,,,,,,,
auto_base_channels32_dropout0.2_label_smoothing0.0_lr0.01_normgroup_weight_decay0.0005_20251117_050107,,,,,,,,,,,,
auto_base_channels32_dropout0.3_label_smoothing0.0_lr0.001_normbatch_weight_decay0.0005_20251117_090407,,,,,,,,,,,,
auto_base_channels32_dropout0.3_label_smoothing0.0_lr0.001_normgroup_weight_decay0.0005_20251117_095332,,,,,,,,,,,,
auto_base_channels32_dropout0.3_label_smoothing0.0_lr0.01_normbatch_weight_decay0.0005_20251117_072601,,,,,,,,,,,,
auto_base_channels32_dropout0.3_label_smoothing0.0_lr0.01_normgroup_weight_decay0.0005_20251117_081512,,,,,,,,,,,,
auto_base_channels32_dropout0.5_label_smoothing0.0_lr0.001_normbatch_weight_decay0.0005_20251117_122056,,,,,,,,,,,,
auto_base_channels32_dropout0.5_label_smoothing0.0_lr0.001_normgroup_weight_decay0.0005_20251117_131149,,,,,,,,,,,,
auto_base_channels32_dropout0.5_label_smoothing0.0_lr0.01_normbatch_weight_decay0.0005_20251117_104146,,,,,,,,,,,,
auto_base_channels32_dropout0.5_label_smoothing0.0_lr0.01_normgroup_weight_decay0.0005_20251117_113128,,,,,,,,,,,,
auto_base_channels32_dropout0.0_label_smoothing0.0_lr0.01_normbatch_weight_decay0.0005_20251116_152023,,,,,,,,,,,,
auto_base_channels32_dropout0.0_label_smoothing0.0_lr0.01_normbatch_weight_decay0.001_20251116_164345,,,,,,,,,,,,
auto_base_channels32_dropout0.0_label_smoothing0.0_lr0.01_normgroup_weight_decay0.0005_20251116_180557,,,,,,,,,,,,
auto_base_channels32_dropout0.0_label_smoothing0.0_lr0.01_normgroup_weight_decay0.001_20251116_192856,,,,,,,,,,,,
auto_base_channels32_dropout0.0_label_smoothing0.0_lr0.01_norminstance_weight_decay0.0005_20251116_205124,,,,,,,,,,,,
